,Contract,Last,Change,Open,High,Low,Volume,Previous Settle,Month
71,Nov '26 (NGX26),2.599,+0.036,2.599,2.599,2.599,0,2.563,Nov
72,Dec '26 (NGZ26),2.817,+0.036,2.817,2.817,2.817,0,2.781,Dec
73,Jan '27 (NGF27),2.937,+0.036,2.937,2.937,2.937,0,2.901,Jan
74,Feb '27 (NGG27),2.897,+0.036,2.897,2.897,2.897,0,2.861,Feb
75,Mar '27 (NGH27),2.762,+0.036,2.762,2.762,2.762,0,2.726,Mar
76,Apr '27 (NGJ27),2.437,+0.036,2.437,2.437,2.437,0,2.401,Apr
77,May '27 (NGK27),2.417,+0.036,2.417,2.417,2.417,0,2.381,May
78,Jun '27 (NGM27),2.452,+0.036,2.452,2.452,2.452,0,2.416,Jun
79,Jul '27 (NGN27),2.486,+0.036,2.486,2.486,2.486,0,2.450,Jul
80,Aug '27 (NGQ27),2.492,+0.036,2.492,2.492,2.492,0,2.456,Aug
81,Sep '27 (NGU27),2.496,+0.036,2.496,2.496,2.496,0,2.460,Sep
82,Oct '27 (NGV27),2.532,+0.036,2.532,2.532,2.532,0,2.496,Oct
83,Nov '27 (NGX27),2.630,+0.036,2.630,2.630,2.630,0,2.594,Nov
84,Dec '27 (NGZ27),2.832,+0.036,2.832,2.832,2.832,0,2.796,Dec
85,Jan '28 (NGF28),2.958,+0.036,2.958,2.958,2.958,0,2.922,Jan
86,Feb '28 (NGG28),2.918,+0.036,2.918,2.918,2.918,0,2.882,Feb
87,Mar '28 (NGH28),2.788,+0.036,2.788,2.788,2.788,0,2.752,Mar
88,Apr '28 (NGJ28),2.453,+0.036,2.453,2.453,2.453,0,2.417,Apr
89,May '28 (NGK28),2.433,+0.036,2.433,2.433,2.433,0,2.397,May
90,Jun '28 (NGM28),2.473,+0.036,2.473,2.473,2.473,0,2.437,Jun
91,Jul '28 (NGN28),2.515,+0.036,2.515,2.515,2.515,0,2.479,Jul
92,Aug '28 (NGQ28),2.530,+0.036,2.530,2.530,2.530,0,2.494,Aug
93,Sep '28 (NGU28),2.542,+0.036,2.542,2.542,2.542,0,2.506,Sep
94,Oct '28 (NGV28),2.578,+0.036,2.578,2.578,2.578,0,2.542,Oct
95,Nov '28 (NGX28),2.683,+0.036,2.683,2.683,2.683,0,2.647,Nov
96,Dec '28 (NGZ28),2.893,+0.036,2.893,2.893,2.893,0,2.857,Dec
97,Jan '29 (NGF29),3.013,+0.036,3.013,3.013,3.013,0,2.977,Jan
98,Feb '29 (NGG29),2.968,+0.036,2.968,2.968,2.968,0,2.932,Feb
99,Mar '29 (NGH29),2.838,+0.036,2.838,2.838,2.838,0,2.802,Mar
100,Apr '29 (NGJ29),2.503,+0.036,2.503,2.503,2.503,0,2.467,Apr
101,May '29 (NGK29),2.478,+0.036,2.478,2.478,2.478,0,2.442,May
102,Jun '29 (NGM29),2.513,+0.036,2.513,2.513,2.513,0,2.477,Jun
103,Jul '29 (NGN29),2.553,+0.036,2.553,2.553,2.553,0,2.517,Jul
104,Aug '29 (NGQ29),2.578,+0.036,2.578,2.578,2.578,0,2.542,Aug
105,Sep '29 (NGU29),2.583,+0.036,2.583,2.583,2.583,0,2.547,Sep
106,Oct '29 (NGV29),2.618,+0.036,2.618,2.618,2.618,0,2.582,Oct
107,Nov '29 (NGX29),2.723,+0.036,2.723,2.723,2.723,0,2.687,Nov
108,Dec '29 (NGZ29),2.933,+0.036,2.933,2.933,2.933,0,2.897,Dec
109,Jan '30 (NGF30),3.058,+0.036,3.058,3.058,3.058,0,3.022,Jan
110,Feb '30 (NGG30),3.018,+0.036,3.018,3.018,3.018,0,2.982,Feb
111,Mar '30 (NGH30),2.893,+0.036,2.893,2.893,2.893,0,2.857,Mar
112,Apr '30 (NGJ30),2.558,+0.036,2.558,2.558,2.558,0,2.522,Apr
113,May '30 (NGK30),2.536,+0.036,2.536,2.536,2.536,0,2.500,May
114,Jun '30 (NGM30),2.571,+0.036,2.571,2.571,2.571,0,2.535,Jun
115,Jul '30 (NGN30),2.611,+0.036,2.611,2.611,2.611,0,2.575,Jul
116,Aug '30 (NGQ30),2.651,+0.036,2.651,2.651,2.651,0,2.615,Aug
117,Sep '30 (NGU30),2.666,+0.036,2.666,2.666,2.666,0,2.630,Sep
118,Oct '30 (NGV30),2.712,+0.036,2.712,2.712,2.712,0,2.676,Oct
119,Nov '30 (NGX30),2.784,+0.036,2.784,2.784,2.784,0,2.748,Nov
120,Dec '30 (NGZ30),2.939,+0.036,2.939,2.939,2.939,0,2.903,Dec
121,Jan '31 (NGF31),3.069,+0.036,3.069,3.069,3.069,0,3.033,Jan
122,Feb '31 (NGG31),3.029,+0.036,3.029,3.029,3.029,0,2.993,Feb
123,Mar '31 (NGH31),2.924,+0.036,2.924,2.924,2.924,0,2.888,Mar
124,Apr '31 (NGJ31),2.604,+0.036,2.604,2.604,2.604,0,2.568,Apr
125,May '31 (NGK31),2.582,+0.036,2.582,2.582,2.582,0,2.546,May
126,Jun '31 (NGM31),2.617,+0.036,2.617,2.617,2.617,0,2.581,Jun
127,Jul '31 (NGN31),2.657,+0.036,2.657,2.657,2.657,0,2.621,Jul
128,Aug '31 (NGQ31),2.697,+0.036,2.697,2.697,2.697,0,2.661,Aug
129,Sep '31 (NGU31),2.712,+0.036,2.712,2.712,2.712,0,2.676,Sep
130,Oct '31 (NGV31),2.758,+0.036,2.758,2.758,2.758,0,2.722,Oct
131,Nov '31 (NGX31),2.830,+0.036,2.830,2.830,2.830,0,2.794,Nov
132,Dec '31 (NGZ31),2.985,+0.036,2.985,2.985,2.985,0,2.949,Dec
133,Jan '32 (NGF32),3.111,+0.036,3.111,3.111,3.111,0,3.075,Jan
134,Feb '32 (NGG32),3.071,+0.036,3.071,3.071,3.071,0,3.035,Feb
135,Mar '32 (NGH32),2.971,+0.036,2.971,2.971,2.971,0,2.935,Mar
136,Apr '32 (NGJ32),2.651,+0.036,2.651,2.651,2.651,0,2.615,Apr
137,May '32 (NGK32),2.629,+0.036,2.629,2.629,2.629,0,2.593,May
138,Jun '32 (NGM32),2.664,+0.036,2.664,2.664,2.664,0,2.628,Jun
139,Jul '32 (NGN32),2.704,+0.036,2.704,2.704,2.704,0,2.668,Jul
140,Aug '32 (NGQ32),2.744,+0.036,2.744,2.744,2.744,0,2.708,Aug
141,Sep '32 (NGU32),2.759,+0.036,2.759,2.759,2.759,0,2.723,Sep
142,Oct '32 (NGV32),2.805,+0.036,2.805,2.805,2.805,0,2.769,Oct
143,Nov '32 (NGX32),2.877,+0.036,2.877,2.877,2.877,0,2.841,Nov
144,Dec '32 (NGZ32),3.032,+0.036,3.032,3.032,3.032,0,2.996,Dec
145,Jan '33 (NGF33),3.158,+0.036,3.158,3.158,3.158,0,3.122,Jan
146,Feb '33 (NGG33),3.118,+0.036,3.118,3.118,3.118,0,3.082,Feb
147,Mar '33 (NGH33),3.023,+0.036,3.023,3.023,3.023,0,2.987,Mar
148,Apr '33 (NGJ33),2.708,+0.036,2.708,2.708,2.708,0,2.672,Apr
149,May '33 (NGK33),2.686,+0.036,2.686,2.686,2.686,0,2.650,May
150,Jun '33 (NGM33),2.721,+0.036,2.721,2.721,2.721,0,2.685,Jun
151,Jul '33 (NGN33),2.761,+0.036,2.761,2.761,2.761,0,2.725,Jul
152,Aug '33 (NGQ33),2.801,+0.036,2.801,2.801,2.801,0,2.765,Aug
153,Sep '33 (NGU33),2.816,+0.036,2.816,2.816,2.816,0,2.780,Sep
154,Oct '33 (NGV33),2.862,+0.036,2.862,2.862,2.862,0,2.826,Oct
155,Nov '33 (NGX33),2.934,+0.036,2.934,2.934,2.934,0,2.898,Nov
156,Dec '33 (NGZ33),3.089,+0.036,3.089,3.089,3.089,0,3.053,Dec
